,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
0,@interfaxua,345,334,417,296,299,229,142,141,129,23,0
1,@Mir24TV,237,249,174,246,199,221,123,126,74,108,0
2,@rosbaltru,149,165,180,191,169,172,87,105,105,77,0
3,@smnewsru,121,140,143,98,90,98,78,81,56,49,0
4,@good78news,140,162,112,138,134,94,41,66,70,57,0
5,@5tv,128,161,132,154,110,114,58,74,59,7,0
6,@caucasianknot,72,119,103,94,86,104,70,65,83,52,0
7,@tass_agency,135,125,116,57,55,57,28,39,45,53,0
8,@ExpressGazeta,105,109,94,72,46,40,37,45,50,28,0
9,@cgtnrussian,75,86,71,74,54,41,35,37,16,11,0
10,@ktk_news,94,102,92,77,67,33,19,13,22,20,0
11,@CoronaviridaeRu,0,0,1,3,2,116,215,116,4,1,7
12,@aa_russian,35,52,35,61,39,35,43,33,24,23,0
13,@Virus19Korona,339,0,1,0,0,0,0,0,0,0,2
14,@Otinoff,0,190,94,55,45,32,29,3,0,0,0
15,@Eva43459776,125,107,22,11,13,0,0,0,0,0,0
16,@DeHergestelltin,62,43,41,25,21,21,7,12,9,7,0
17,@KazAkparat,2,1,49,54,67,32,21,20,34,30,0
18,@Evgeny_Jenkov,51,20,43,28,44,40,39,18,10,14,0
19,@donetsk62ua,0,10,27,30,35,34,28,28,26,27,0
20,@zn_ua,45,19,13,18,11,9,10,6,7,9,0
21,@Belyi_Mish,22,0,0,0,0,0,0,0,0,0,2
22,@woskrese17,45,59,18,19,14,14,9,5,4,2,0
23,@IA_REX,22,21,43,31,17,20,16,15,15,9,0
24,@DonbassSegodnya,26,28,28,39,25,22,15,12,11,7,0
25,@You_are_Future,26,21,4,0,1,3,1,0,0,0,0
26,@yugopolis,30,34,29,25,24,21,11,5,4,0,0
27,@vsenasite,26,11,8,9,9,9,0,0,2,1,2
28,@LIGAnet,19,21,24,20,18,13,12,10,21,15,0
29,@kazinformkz,2,7,7,56,48,19,4,11,11,15,6
30,@UATV_rus,22,36,29,19,19,21,10,17,17,8,0
31,@RMCNewsru,24,26,27,51,16,12,0,13,10,0,0
32,@i3vestno,18,46,51,41,33,0,0,0,3,0,0
33,@Vse42ru,23,11,0,0,0,21,42,35,33,26,0
34,@faktyua,101,17,0,0,0,0,0,18,36,12,2
35,@5minby,17,21,30,32,27,9,15,15,16,0,0
36,@AntonBoym,17,8,10,13,2,10,2,8,8,4,0
37,@fludperm,38,10,0,0,0,11,26,31,31,34,0
38,@alexandr_iv_rb,35,12,28,22,10,9,4,6,4,1,0
39,@vegatur1,13,13,1,8,5,2,0,0,3,0,0
40,@ruspoker,0,21,35,38,42,31,0,0,0,0,0
41,@moskal196239,7,14,25,22,32,23,14,7,3,4,0
42,@Bromber45356308,1,15,55,51,20,14,0,0,0,0,6
43,@JoinfoEng,20,19,20,26,22,12,6,13,8,10,0
