,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_11,cluster_12,id
0,kot_sapog,71,79,85,94,71,50,42,34,23,38,2,1,18287
1,kahhar_786,56,80,62,55,30,54,35,34,44,66,2,1,18021
2,millenium_perm,49,72,61,54,60,39,41,42,45,46,2,1,30502
3,karelianews,38,71,60,60,40,39,33,35,21,22,2,1,95413
4,greenchelman_3,40,46,53,54,23,32,23,20,16,24,2,1,86500
5,cyplive,35,41,32,35,21,25,32,29,25,23,2,1,85356
6,margarita_nik,1,48,38,37,33,26,29,27,23,20,2,1,18632
7,oleg_leusenko,46,32,24,42,28,32,22,16,8,8,2,1,85489
8,grimnir74,42,54,46,35,19,15,9,9,10,9,2,1,31037
9,matveychev_oleg,38,61,29,27,16,15,7,6,10,21,2,1,26015
10,umgezogen,16,21,20,30,37,30,20,21,15,15,2,1,54702
11,zergulio,30,59,36,36,24,16,9,7,3,3,2,1,69899
12,znat_kak,21,23,46,26,17,27,15,19,14,15,2,1,28561
13,taen_1,12,26,24,24,22,19,33,23,18,15,2,1,73900
14,starover,0,13,0,60,84,16,34,0,0,0,2,1,42048
15,whoiskto2,0,0,10,14,22,25,15,18,36,58,2,11,72298
16,colonelcassad,35,43,30,20,14,13,11,14,10,6,2,1,51008
17,sergeytarutin,0,0,0,0,26,34,26,35,34,34,2,11,55537
18,amarok_man,22,40,38,32,19,13,5,7,10,0,2,1,74940
19,alex54sar,22,26,26,26,29,13,14,5,16,8,2,1,40518
20,autocatalogue,5,1,27,39,25,21,20,20,14,11,2,1,22305
21,bel_ok,15,23,19,17,14,13,13,12,13,10,2,1,64068
22,specnazspn,20,33,21,23,9,19,3,3,5,7,2,1,90908
23,bitvazaurozay,30,31,21,19,15,5,11,3,2,0,2,1,91076
24,yushchuk,29,18,18,19,10,12,7,11,7,5,2,1,84971
25,peter_vanich,12,31,20,25,11,12,6,9,6,4,2,1,42252
26,www_vgae_ru,20,24,25,19,18,14,11,4,0,0,2,1,19666
27,irek_murtazin,16,18,16,14,10,12,15,12,8,10,2,1,38774
28,deda13,23,24,17,14,9,18,6,4,10,0,2,1,66643
29,viktor11015,22,18,22,19,7,8,12,6,3,3,2,1,33234
30,wangden,10,31,18,13,17,13,8,3,1,1,2,1,90090
31,chervonec_001,11,12,24,12,9,8,9,9,7,9,2,1,43112
32,burckina_new,11,9,7,7,9,13,10,15,12,12,2,1,95188
33,kukmor,20,22,17,13,4,7,6,9,5,2,2,1,33411
34,ibigdan,23,23,18,15,3,4,8,3,5,3,2,1,58620
35,mishkaros,4,14,13,8,11,15,14,9,8,7,2,1,71671
36,ilyavaliev,11,9,14,9,6,9,13,8,9,5,2,1,89530
37,dymontiger,10,15,11,8,5,8,7,8,12,8,2,1,28683
38,crime_ua,23,20,9,10,11,5,5,3,3,4,2,1,68226
39,vasilko12andrey,8,8,11,10,11,10,11,11,6,6,2,1,57401
40,geomakss,10,17,13,7,18,11,0,3,8,5,2,1,26444
41,werewolf0001,12,17,11,14,5,13,7,4,4,4,2,1,39178
42,zloy_odessit,15,12,8,10,9,5,12,8,6,3,2,1,19638
43,chuka_lis,5,7,15,10,17,7,8,6,7,3,2,1,42012
44,yuhrnikke,12,10,15,13,6,7,5,9,2,5,2,1,78080
45,infopro54,7,19,16,16,8,8,3,2,2,3,2,1,34632
46,anti_chief,9,18,16,5,8,7,8,2,6,4,2,1,92666
47,gluhovski_igor,0,0,0,3,9,16,12,14,12,15,2,11,53131
48,erica,2,12,13,10,12,5,4,6,9,8,2,1,29702
49,bor_odin,5,8,11,8,8,8,8,8,8,8,2,1,89073
50,vitruvianus_9,11,10,13,12,11,6,9,1,1,6,2,1,69399
51,prilepin,12,28,4,1,6,16,2,5,2,3,2,1,22701
52,begemot_0007,4,12,18,12,12,7,3,0,1,10,2,1,90139
53,manyunya1116,13,15,9,6,10,9,4,4,7,1,2,1,73068
54,valkiriarf,0,1,5,7,16,10,6,9,9,13,2,1,68951
55,a_nalgin,8,6,9,9,5,7,9,9,9,4,2,1,69529
56,kirill_nav_1,11,17,14,13,10,8,2,0,0,0,2,1,41909
57,chern_molnija,3,17,21,15,9,5,2,0,1,1,2,1,35132
58,kolybanov,7,9,7,7,6,7,7,7,6,8,2,1,87574
59,verola,5,11,7,12,7,6,9,5,7,1,2,1,44928
60,bobwelder,0,0,5,4,2,17,12,14,11,5,2,1,54913
61,komandorva,0,14,11,9,4,9,8,6,7,1,2,1,70911
62,fromnorthcyprus,12,17,18,13,9,0,0,0,0,0,2,1,15699
63,victor_vos,3,4,7,2,9,10,16,12,1,3,2,1,81655
64,my_xcalibur,0,10,20,17,7,10,3,0,0,0,2,1,92773
65,osolntseva,4,6,8,10,11,15,7,1,2,3,2,1,53001
66,chegevara37,4,5,10,6,6,6,12,9,1,8,2,1,89154
67,ruh666,8,7,5,8,3,2,5,7,10,11,2,1,37818
68,psyteaman,6,5,7,10,9,8,3,7,7,4,2,1,43706
69,montrealex,7,2,5,8,7,10,8,14,1,3,2,1,24409
70,trueadviser,5,5,7,7,6,7,6,6,6,8,2,1,53390
71,lexap,8,5,9,11,8,5,2,4,5,5,2,1,84709
72,lufer_lj,8,5,6,10,8,5,9,6,5,0,2,1,71596
73,evening_cowboy,2,8,5,15,1,1,6,10,9,4,2,1,13467
74,LJ_media,14,12,6,9,3,3,2,3,4,5,2,1,92835
75,olegivanov1966,9,8,20,2,9,6,1,3,0,3,2,1,36496
76,strajj,8,22,9,9,2,4,3,3,0,0,2,1,13360
77,politshturm,3,13,8,6,3,4,3,6,4,11,2,1,41160
78,igor_piterskiy,9,12,8,9,2,3,7,4,4,2,2,1,88028
79,mnemchin,2,6,7,7,5,4,7,6,7,8,2,1,89950
80,al3101961,11,6,8,8,4,6,7,3,2,3,2,1,21715
81,matsam,14,17,12,8,1,2,0,2,0,1,2,1,86571
82,ogneev,11,6,9,6,5,3,4,1,4,7,2,1,87819
83,uborshizzza,9,11,7,6,2,6,3,5,4,3,2,1,26255
84,vegetagarden,5,18,8,5,12,5,0,0,1,2,2,1,84138
85,tl2002,0,4,5,9,10,13,9,1,2,3,2,1,91690
86,little_raccn,9,30,6,2,2,3,3,0,0,0,2,1,64731
87,vitaviktoria,4,0,6,12,12,6,3,1,4,7,2,1,80769
88,borvag,7,10,7,6,2,5,4,4,6,4,2,1,29737
89,radiovos,4,5,5,7,5,5,6,5,6,5,2,1,14300
90,mishakir,3,6,5,5,3,6,6,6,7,6,2,1,46208
91,trurost,4,7,4,8,15,6,5,3,0,2,2,1,88647
92,dralexandra,5,11,6,8,5,4,5,4,1,4,2,1,91516
93,lev_shlosberg,8,8,5,4,7,8,1,5,2,4,2,1,37846
94,ap0caiypse,5,9,10,5,2,4,10,6,0,1,2,1,23358
