,tnos,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,"Sensations: fear, panic, etc.",Countries,Socialization,"Sensations: fear, panic, etc.",Information sources,Death and Infection Stats,Death and Infection Stats,Death and Infection Stats,,"Sensations: fear, panic, etc."
1,1,Financial aid & Credit offers,"Sensations: fear, panic, etc.",Measures & Law,Information sources,Financial aid & Credit offers,"Sensations: fear, panic, etc.",Countries,"Sensations: fear, panic, etc.",Disease Treatment,
2,2,Countries,Measures & Law,,Protective means,,Financial aid & Credit offers,Disease Treatment,Death and Infection Stats,Measures & Law,
3,3,Information sources,Measures & Law,Death and Infection Stats,"Politics, Conspirology","Sensations: fear, panic, etc.",Death and Infection Stats,Measures & Law,"Sensations: fear, panic, etc.",Information sources,Information sources
4,4,Disease Treatment,Information sources,COVID chemistry,Disease Treatment,Disease Treatment,Death and Infection Stats,,Financial aid & Credit offers,,
5,5,Socialization,Locations,Disease Treatment,Measures & Law,,Measures & Law,"Sensations: fear, panic, etc.",Measures & Law,,"Sensations: fear, panic, etc."
6,6,Politicians and Celebrities,Socialization,Financial aid & Credit offers,Countries,,Protective means,Information sources,Disease Treatment,Religion,Death and Infection Stats
7,7,"Sensations: fear, panic, etc.",Disease Treatment,Protective means,Measures & Law,"Sensations: fear, panic, etc.",Disease Treatment,Measures & Law,Countries,Death and Infection Stats,
8,8,Measures & Law,"Sensations: fear, panic, etc.",,Measures & Law,"Sensations: fear, panic, etc.","Politics, Conspirology",,Information sources,,
9,9,,,"Sensations: fear, panic, etc.",Socialization,Death and Infection Stats,Locations,Death and Infection Stats,Measures & Law,,Measures & Law
10,10,Socialization,Financial aid & Credit offers,,"Sensations: fear, panic, etc.",,Measures & Law,Death and Infection Stats,Measures & Law,"Politics, Conspirology",Measures & Law
11,11,"Politics, Conspirology",Protective means,"Sensations: fear, panic, etc.",Death and Infection Stats,Death and Infection Stats,Countries,Information sources,Lockdown activities,,Protective means
12,12,Death and Infection Stats,Death and Infection Stats,Death and Infection Stats,,Measures & Law,"Sensations: fear, panic, etc.",,Protective means,Measures & Law,
