,tnos,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,"Statistics (infection, death)",Foreign_affairs,Virus_control_measures (personal level),Hospitalization,Reflections_conversations,Virus_control_measures (personal level),Virus_control_measures (public level),"Statistics (infection, death)",Information_sources,"Folk_medicine, mysticism, conspiracy"
1,1,Hospitalization,Virus_control_measures (personal level),Foreign_affairs,Reflections_conversations,"Statistics (infection, death)",Virus_control_measures (public level),"COVID (investigation, tests, treatment)",Economic_issues,"Statistics (infection, death)","Statistics (infection, death)"
2,2,"COVID (investigation, tests, treatment)",Reflections_conversations,Virus_control_measures (public level),Entertainment_and_leisure,Hospitalization,"Folk_medicine, mysticism, conspiracy",Economic_issues,Hospitalization,"Statistics (infection, death)",Reflections_conversations
3,3,Virus_control_measures (personal level),Economic_issues,Economic_issues,Virus_control_measures (public level),Reflections_conversations,Hospitalization,Foreign_affairs,"COVID (investigation, tests, treatment)",Reflections_conversations,Economic_issues
4,4,Entertainment_and_leisure,Reflections_conversations,"Statistics (infection, death)",Virus_control_measures (personal level),Economic_issues,"COVID (investigation, tests, treatment)","Statistics (infection, death)",Reflections_conversations,Economic_issues,Virus_control_measures (public level)
5,5,Foreign_affairs,Virus_control_measures (public level),Solutions_to_household_problems,Entertainment_and_leisure,"Folk_medicine, mysticism, conspiracy","Statistics (infection, death)",Foreign_affairs,Foreign_affairs,Virus_control_measures (public level),Virus_control_measures (personal level)
6,6,Foreign_affairs,Hospitalization,"COVID (investigation, tests, treatment)",Virus_control_measures (personal level),Entertainment_and_leisure,Economic_issues,"Folk_medicine, mysticism, conspiracy","Folk_medicine, mysticism, conspiracy",Foreign_affairs,Holidays
7,7,Economic_issues,Virus_control_measures (public level),Reflections_conversations,Economic_issues,"COVID (investigation, tests, treatment)",Foreign_affairs,Foreign_affairs,Reflections_conversations,"COVID (investigation, tests, treatment)",Economic_issues
8,8,Economic_issues,"Statistics (infection, death)",Information_sources,Virus_control_measures (public level),Foreign_affairs,Entertainment_and_leisure,Virus_control_measures (public level),Foreign_affairs,Foreign_affairs,Foreign_affairs
9,9,Virus_control_measures (public level),Entertainment_and_leisure,Hospitalization,"Statistics (infection, death)",Reflections_conversations,Economic_issues,Reflections_conversations,Virus_control_measures (personal level),Virus_control_measures (public level),Hospitalization
10,10,"COVID (investigation, tests, treatment)",Reflections_conversations,Entertainment_and_leisure,"COVID (investigation, tests, treatment)",Virus_control_measures (public level),Domestic_politics,"Statistics (infection, death)",Holidays,Entertainment_and_leisure,Foreign_affairs
11,11,Entertainment_and_leisure,Entertainment_and_leisure,Foreign_affairs,Foreign_affairs,Virus_control_measures (personal level),Reflections_conversations,Virus_control_measures (personal level),"Statistics (infection, death)",Virus_control_measures (personal level),"COVID (investigation, tests, treatment)"
12,12,Reflections_conversations,"COVID (investigation, tests, treatment)","Folk_medicine, mysticism, conspiracy",Foreign_affairs,Virus_control_measures (public level),Foreign_affairs,Entertainment_and_leisure,"Folk_medicine, mysticism, conspiracy",Healthcare_professionals (incl.payments),"Statistics (infection, death)"
