,tnos,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,0_Lockdown,13_Ec.Crisis/Situation,23_Work_School_DistantLearning,"29_Situation_Thoughts: verbs, children",38_Shopping/Kadyrov/Rybalko,49_Statistics: new cases,"58_Statistics: Lethal, World","58_Statistics: infection, Russia, World","74_Science_Vaccine: vaccine, sea salt",84_Lockdown/Vaccination
1,1,1_Business_Support,14_Action_Verbs/Nation,"8_Moscow: passes, fines","17_Occupations: read, media,series","39_Criticism of Authorities, Navalny,Constitution","46_Lockdown: stayhome, why, media, risk",33_Science_Vaccine: Russia and US,"68_News: Peskov, hospitalization",59_Fin.Support:med.personnel,"85_Situation_Thoughts: info.background, events around"
2,2,2_Border_Closure,15_Measures_Law,"24_Fight_Virus: Putin speech on pecheneg, panic, fear","30_Protective_Means:shops,delivery,volontiers",40_Science_Vaccine/COVID_Origin_Conspiracy,"50_Work, studies, family",59_Healthcare: Fin.situation,"12_Statistics: new cases, Russia",75_Protective_Means: distance,86_Fighting_Virus: World
3,3,3_Occupations: Transition_to_Online,16_Self-Isolation_Address,"25_Science_Vaccine: tests, New York","31_Healthcare: Putin, ALV, Victory day",41_Lockdown/Penalties/Vladikavkaz_protests/Lukashenko,12_Statistics: Russia and World,"60_Lockdown: restriction lift, work, Rospotrebnadzor",29_Thoughts_Situation: Verbs,"76_News: Fludilka, Perm, Kadyrov, Putin","87_News: Fludilka, Perm, Random"
4,4,"4_Healthcare: Kommunarka,Leschenko",17_Occupations: read_online_truth,26_Folk_Remedies/Leschenko,"4_Healthcare: kommunarka, tests",42_Healthcare/Moscow,"51_Infection_Spread_Control: passes, police",61_Ec.Crisis: Dangerous dynamics,"69_Fin.support: Mishustin, payments to families,med.personnel","77_Digital passes, ALV","88_Random_Talk: Lugansk, Donetsk, unmask (razoblachat), Efimov"
5,5,5_Protective_Means_Stayhome,18_Lockdown: police_transport,"4_Healthcare: Boris Johnson, ALV","32_Lockdown: May, Petersburg, Self-Isolation","43_Lockdown: Protective_Means/Testing/Delivery: volonties,Yandex",52_Restriction_lifting,"62_Lockdown: stayhome, symptoms",52_Lockdown: restrictions lift,"78_Situation_Thoughts: society,putin,random","89_Random_Talk: reason, believe, medicine"
6,6,6_Infection_Spread: Johnson_Charles,"19_Lockdown: stayhome, child","1_Financial_Support: business, families",33_Countries_Aid,"44_Lockdown: Family,verbs, DistantLearning/Oil",53_Protective_means,"63_News: fludilka, Perm","70_Healtchare: ALV, Petersburg, Violation, Police",79_Lockdown: people gathering (uraza bayram),12_Statistics: new cases
7,7,"7_Thoughts: panic, world fighting","4_Healthcare: kommunarka, symptoms",22_Protective_Means: Delivery,"34_Moscow: passes,police",45_Criticism of Authorities: Comparison with China,"4_Healthcare, Treatment, kommunarka, ALV",8_Moscow: measures,"33_Science_Vaccine: US, China, new_wave",12_Statistics: new cases,"90_Random_Talk: frightning, report, decrease, control, police"
8,8,8_Moscow,20_Science_Vaccine: origin,"27_Holidays: Easter,Victory day/Ivan_Beletskiy",15_Fin_Support: payments,46_Lockdown: general,54_Putin Address/Bill Gates,"64_Putin, humor, sogol, tamasha, prolongation","63_News: Fludilka, random","80_Futbol, Morgunov death from covid","91_Online, Briefing, Situation, Volga Region"
9,9,9_Countries_Aid,9_Countries_Aid,0_Lockdown: child,35_Easter,[12]_Statistics: new cases,55_Moscow: Empty streets and parks,12_Statistics: Russia and World,"48_Putin Address: Support, Rights","81_Vaccination, Child, Volga region","92_June, Self-Isolation, Regime"
10,10,10_Lockdown: shopping_delivery,"21_Business_Support: payments,taxes","28_Fight_Virus: risk_group, fake, etc",36_Situation_Thoughts: random,47_Ec.Crisis/US,"48_Fight_Pandemic: Mishustin, fin.support",65_Infection_Cases: RF prime min positive test,71_Healthcare: Antibody Testing,82_Second wave,93_Moscow: second wave
11,11,"11_Address: president, week",22_Protective_means/Folk_remedies,7_Pandemic_in_World,12_Statistics,[12]_Statistics: Russia and World,56_Science_Vaccine,"66_News, RIA, Bill Gates, Fake",72_Futbol,"83_Constitution Amend.:Duma, blocking, problem, Caucasus",94_Protective_Means
12,12,12_Statistics,12_Statistics,12_Statistics,"37_Science_Vaccine: Russian_Science,Virus_origin_truth","48_Measures: May, regions, Putin, employment","57_Occupations: online activity, buy subscription",67_Victory day,73_Protective_Means: Distance,"48_Lockdown: measures, June","95_Putin, Victory Parade, Unemployment"
