,tnos,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
0,0,Reflections_conversations,Economic_issues,Work,Reflections_conversations,Solutions_to_household_problems,"Statistics (infection, death)","Statistics (infection, death)","Statistics (infection, death)","COVID (investigation, tests, treatment)",Healthcare_professionals (incl.payments)
1,1,Economic_issues,Reflections_conversations,Virus_control_measures (public level),Information_sources,Reflections_conversations,Reflections_conversations,Foreign_affairs,Information_sources,Healthcare_professionals (incl.payments),Reflections_conversations
2,2,Virus_control_measures (public level),Virus_control_measures (public level),Reflections_conversations,Virus_control_measures (personal level),"COVID (investigation, tests, treatment)",Work,Healthcare_professionals (incl.payments),"Statistics (infection, death)",Virus_control_measures (personal level),Foreign_affairs
3,3,Information_sources,Virus_control_measures (public level),"COVID (investigation, tests, treatment)",Virus_control_measures (public level),Virus_control_measures (public level),"Statistics (infection, death)",Virus_control_measures (public level),Reflections_conversations,Information_sources,Information_sources
4,4,Hospitalization,Information_sources,"Folk_medicine, mysticism, conspiracy",Hospitalization,Hospitalization,"Statistics (infection, death)","Statistics (infection, death)",Healthcare_professionals (incl.payments),Virus_control_measures (public level),Foreign_affairs
5,5,Virus_control_measures (personal level),Virus_control_measures (public level),Hospitalization,Virus_control_measures (public level),Virus_control_measures (personal level),Virus_control_measures (public level),Virus_control_measures (public level),Virus_control_measures (public level),Reflections_conversations,Reflections_conversations
6,6,"Statistics (infection, death)",Virus_control_measures (public level),Economic_issues,Foreign_affairs,Reflections_conversations,Virus_control_measures (personal level),Information_sources,Hospitalization,Holidays,"Statistics (infection, death)"
7,7,Reflections_conversations,Hospitalization,Virus_control_measures (personal level),Virus_control_measures (public level),Foreign_affairs,Hospitalization,Virus_control_measures (public level),Foreign_affairs,"Statistics (infection, death)","Folk_medicine, mysticism, conspiracy"
8,8,Virus_control_measures (public level),"COVID (investigation, tests, treatment)",Virus_control_measures (public level),Virus_control_measures (public level),Reflections_conversations,Domestic_politics,Domestic_politics,Information_sources,Entertainment_and_leisure,Regional_problems
9,9,Foreign_affairs,Foreign_affairs,Solutions_to_household_problems,Holidays,"Statistics (infection, death)",Virus_control_measures (public level),"Statistics (infection, death)",Virus_control_measures (public level),Regional_problems,Virus_control_measures (public level)
10,10,Solutions_to_household_problems,Work,"COVID (investigation, tests, treatment)",Reflections_conversations,Economic_issues,Virus_control_measures (public level),"Statistics (infection, death)","COVID (investigation, tests, treatment)","Statistics (infection, death)",Virus_control_measures (public level)
11,11,Virus_control_measures (public level),Virus_control_measures (personal level),Reflections_conversations,"Statistics (infection, death)","Statistics (infection, death)",Foreign_affairs,Information_sources,Entertainment_and_leisure,Regional_problems,Virus_control_measures (personal level)
12,12,"Statistics (infection, death)","Statistics (infection, death)","Statistics (infection, death)","COVID (investigation, tests, treatment)",Virus_control_measures (public level),Information_sources,Holidays,Virus_control_measures (personal level),Virus_control_measures (public level),Virus_control_measures (public level)
